I've tried spacing it neatly, it looks fine on the edit but when I publish the change it comes out looking like... well this...
Apologies.

Most Mods Herein use the MIT or GNU Licenses, Forge Licensing, an alternative or use a custom license which request appropriate Credit and Links back to the home or curse page.

Please Contact Dan deLion#1608 or Hellstrom#8665 on Discord with any issues you encounter before engaging any Mod Dev,
it's more than likely our fault anyway.
Also please be aware the modpack team does not support anything other than Windows 10 systems with more than or equal to 7GB of RAM, This Modpack is not confirmed stable below this spec.

Please See Below the List of Mods/Library's and their respective credit and links:

###Mod###                     ###Developed by/Owned By###   ###Link###
AE2 Stuff                     Bdew                           https://minecraft.curseforge.com/projects/ae2stuff
ae2wtLib                      TheRealp455w0rd                https://www.curseforge.com/minecraft/mc-mods/ae2wtlib
Aetherworks                   v0idwa1k3r                     https://www.curseforge.com/minecraft/mc-mods/aetherworks
Akashic Tome                  Vazkii                         https://www.curseforge.com/minecraft/mc-mods/akashic-tome
AppleSkin                     squeek502                      https://www.curseforge.com/minecraft/mc-mods/appleskin
Applied Energistics           AlgorithmX2                    https://ae-mod.info/
Astral Sorcery                HellFirePvP, wiiv (Artist)     https://www.curseforge.com/minecraft/mc-mods/astral-sorcery
AutoPlant                     Lemonszz                       https://www.curseforge.com/minecraft/mc-mods/autoplant
AutoRegLib                    Vazkii                         https://www.curseforge.com/minecraft/mc-mods/autoreglib
Bad Wither No Cookie - Relo~  Kreezxil                       https://www.curseforge.com/minecraft/mc-mods/bad-wither-no-cookie-reloaded
Battletowers                  AtomicStryker                  https://www.curseforge.com/minecraft/mc-mods/atomicstrykers-battle-towers
Baubles                       Azanor                         https://minecraft.curseforge.com/projects/baubles
BdLib                         bdew                           https://minecraft.curseforge.com/projects/bdlib
Bearwithme                    lordcazsius, CatastropheBlack  https://www.curseforge.com/minecraft/mc-mods/bear-with-me
BetterFPS                     Guichaguri                     https://www.curseforge.com/minecraft/mc-mods/betterfps
Bibliocraft                   Nuchaz                         https://www.curseforge.com/minecraft/mc-mods/bibliocraft
Binnies Mods                  Binnie567                      https://minecraft.curseforge.com/projects/binnies-mods
Botania                       Vazkii                         https://botaniamod.net/license.php
BountifulBaubles              Cursed1nferno                  https://www.curseforge.com/minecraft/mc-mods/bountifulbaubles
Brandon's Core                brandon3055                    https://minecraft.curseforge.com/projects/brandons-core
bspkrsCore                    bspkrs                         https://www.curseforge.com/minecraft/mc-mods/bspkrscore 
CodeChickenMods               Chicken_Bones                  http://chickenbones.net/Pages/links.html
